NOM;NUMERO;FACTION;UNICITE;TRAITS;TYPES;TEXTE;COUT;ADORATION;ATTAQUE;DEFENSE;DUREE;ICONES;RAPIDITE;ILLUSTRATION;NOMBRE;CARTE
Demonic Rage;209;4;;;Blessing;\13\{Assault} Give +2/+0 to one of your Demons in the current battle. Until the end of the battle, each time your opponent targets it, he loses 2 Adorations and your Worshipper gain +1/+0.;0;;;;;E;1;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\rage demon.jpg;1;CRUSADES
Deviants Must Die;208;4;;;Condemnation;\13\{Assault} Exhaust a Shadow you control in the current battle: Move to the ground a Worshipper opposed to it. Destroy it if it is Deviant.;0;;;;;S;3;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\ame peine.jpg;1;CRUSADES
Overwhelming Force;210;4;;;Doom;\13\{Assault} Choose a standing Demon you control in the current battle and target a Worshipper opposed to it with lower Force : If it is exhausted, destroy it. Else, exhaust it.;0;;;;;F;3;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\avenir incertain.jpg;1;CRUSADES
From the Shadows;211;4;;;Precept;\13\{Assault} Exhaust a Shadow you control: Exhaust a Worshipper in the current battle.\13\;0;;;;;T;4;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\from shadows.jpg;1;CRUSADES
Misdirection ;213;5;;;Recantation;\13\{Reaction} When an opponent ability effect would target a Worshipper you control during an assault, exhaust a Worshipper you control with Slide : Choose targets for all ability effects.;0;;;;;A;1;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\misdir.jpg;1;CRUSADES
Water Strength;215;5;;;Injunction/Blessing;\13\{Devotion}: Until the end of the Day, each time a Worshipper you control moves to a KKolossus part, heal or deal 1 damage from/to that part or a Worshipper at its location.;0;;;;;E;3;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\water.jpg;1;CRUSADES
Superior Strategist;212;5;;;Tactic;\13\{Assault} Use the Strategy trait of a Worshipper you control in the current battle: Seach your Crusade deck for an Event. You can take an additional action to play the chosen card.;0;;;;;F;3;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Sup Strat.jpg;1;CRUSADES
Altering the Future;214;5;;;Tactic;\13\{Assault}: Until the end of the Battle, each time you use the Strategy trait, draw a Crusade card.;0;;;;;S;4;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\altering future.jpg;1;CRUSADES
Smoke screen;201;2;;;Tactic;\13\{Assault} Switch the location of a Worshipper you control in the current battle with another Worshipper you control. Put 1 Aegis token on the one with less endurance.;0;;;;;E;4;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\smoke screen.jpg;1;CRUSADES
Final Fervor;203;2;;;Precept;\13\{Assault} If you are the defending player, destroy an opposed Worshipper you control in the current battle: A Worshipper in one of your KKolossal Rift is materialized at your destroyed Worshipper location. Gain as much Adoration as the number of Precept cards in your Devotion discard (maximum 3). When the Assault ends, dematerialize the Worshipper.;1;;;;;A;3;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\ferveur ultime.jpg;1;CRUSADES
