NOM;NUMERO;FACTION;UNICITE;TRAITS;TYPES;TEXTE;COUT;ADORATION;ATTAQUE;DEFENSE;DUREE;ICONES;RAPIDITE;ILLUSTRATION;NOMBRE;CARTE
Will of the Rock;35;;;;;\13\Eternal\13\\13\{KKolossal}: Choose one => \13\- Add Shield 1 to up to 2 KKolossus parts or Worshippers.\13\- Heal 1 damage to up to 2 Worshippers.\13\\13\Apply the chosen effects an additional time per 10 Adorations you have.;0;;;;;K;2;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Défense;1;KKOLOSSAL ACTIONS
Rest is for weaklings;35;;;;;\13\Eternal\13\\13\{KKolossal}: Choose one => \13\- Give Resilience to up to 2 Worshippers.\13\- Choose a Worshipper. Until the end of the Day, he has the ability "{Assault} Exhaust this Worshipper : Exhaust a Worshipper opposed to it."\13\\13\Apply the chosen effects an additional time per 10 Adorations you have.;0;;;;;K;12;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Défense;1;KKOLOSSAL ACTIONS
Premonition;17;;;;;\13\Eternal\13\\13\{KKolossal}: Choose one => \13\- Switch 1 card from your hand with one of your Consecrated cards.\13\- Choose a number between 2 and 6 and a Rift. Recycle this Rift until you turn face up a Worshipper with a gold cost equal to the chosen number.\13\\13\Apply the chosen effects an additional time per 10 Adorations you have.;0;;;;;K;33;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Mixte;1;KKOLOSSAL ACTIONS
Everlasting Illusion;36;;;;;\13\Eternal\13\\13\{KKolossal}: Choose one =>\13\- Draw a Crusade card and then, discard a card from your hand.\13\- Give or remove the Flight trait to/from a Worshipper until the end of the Day.\13\\13\Apply the chosen effects an additional time per 10 Adorations you have.;0;;;;;K;41;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Mixte;1;KKOLOSSAL ACTIONS
Blaze;31;;;;;\13\Eternal\13\\13\{KKolossal}: Choose one => \13\- Deal 1 damage on a non-Head KKolossus part.\13\- Dematerialize a card from a discard pile.\13\\13\Apply the chosen effects an additional time per 10 Adorations you have.;0;;;;;K;62;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Attaque;1;KKOLOSSAL ACTIONS
Mental Plague;38;;;;;\13\Eternal\13\\13\{KKolossal}: Choose one =>\13\- Recycle a card from a KKolossal Rift.\13\- Look at the top card of a Crusade deck. You can put it on top or at the bottom of this deck.\13\\13\Apply the chosen effects an additional time per 10 Adorations you have.;0;;;;;K;72;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Attaque;1;KKOLOSSAL ACTIONS
The Whole;;;;;;\13\{KKolossal}: This card remains in play.\13\\13\Each time you play a KKolossal Action with a Rune different from all others KKolossal Actions you played during this game, add 1 Absolute token to this card.\13\Opponent card effects have no effect on this card.\13\\13\{Twilight}: Discard 6 Absolute tokens: Destroy the opponent KKolossus Head.;0;;;;;R;7;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;KKOLOSSAL ACTIONS
Overgrowth;16;;;;;\13\{KKolossal}: Add the first card of your Crusade deck to your Consacrated cards pool, face down.;2;;;;;D;40;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Mixte;1;KKOLOSSAL ACTIONS
Quickening;;;;;;\13\{KKolossal}: This card remains in play. \13\\13\While this card is in play, you have the following ability "{Reaction} Before a battle begins, discard this card : The attacking player has the first opportunity to play an action in this battle.";2;;;;;N;89;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Attaque;1;KKOLOSSAL ACTIONS
Divine Support;41;;;;;\13\{KKolossal}: Add 4 Will to your pool. At the end of the Day, if you have Will remaining, gain 2 Adorations.;3;;;;;D;52;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Mixte;1;KKOLOSSAL ACTIONS
I Carry You;12;;;;;\13\{KKolossal}: Choose 2 Worshippers. They gain Flight and can be assigned this Day at Height +1.\13\;3;;;;;M;61;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Attaque;1;KKOLOSSAL ACTIONS
KKolossal Reinforcement;44;;;;;\13\Eternal\13\\13\You can play this card only if your KKolossus has its Torso.\13\\13\{KKolossal}: Each part of your KKolossus gain 2 Shields.;4;;;;;D;15;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Défense;1;KKOLOSSAL ACTIONS
Hunt the Heretics !;23;;;;;\13\{KKolossal}: Exhaust up to 2 Deviant Worshippers. They can't be stood until the end of the Day.;6;;;;;Z;45;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Mixte;1;KKOLOSSAL ACTIONS
Piercing Range;33;;;;;\13\{KKolossal}: This card remains in play.\13\\13\While this card is in play, your shots can target KKolossus parts as if they were Worshippers and all shots targeting KKolossus parts deal 1 additional damage.;10;;;;;N;75;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Attaque;1;KKOLOSSAL ACTIONS
Hardened Skin;;;;;;\13\{KKolossal}: This card remains in play. \13\\13\While this card is in play, you have the following ability "{Assault} Discard this card : Add 3 Shields to up to 2 KKolossus parts.";5;;;;;N;10;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Défense;1;KKOLOSSAL ACTIONS
Down !;26;;;;;\13\{KKolossal}: Exhaust a Worshipper. He cannot be stood until the end of the Day.;6;;;;;Z;20;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Défense;1;KKOLOSSAL ACTIONS
The Shame of Battle;34;;;;;\13\{KKolossal} Target up to 2 Worshippers: each time one of them is assigned or moves in/to a KKolossus part during this Day, it becomes Deviant and you choose a player that gains or loses 2 Adorations. During this Day, all Deviants have -1/-0.;4;;;;;D;24;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Défense;1;KKOLOSSAL ACTIONS
Herald Arrival;43;;;;;\13\{KKolossal}: Search a Worshipper in your Rift deck. Recycle a card from one of your Rifts with the chosen Worshipper. Its Will cost is reduced by 2 until the end of the Day.;5;;;;;M;48;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Mixte;1;KKOLOSSAL ACTIONS
KKolossal Kick;32;;;;;\13\You can play this card only if your KKolossus has a leg.\13\\13\{KKolossal}: Deal 1 damage to all opponent Worshippers and all opponent KKolossus parts at Height = 1 or less.;5;;;;;H;70;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;KKOLOSSAL ACTIONS
Exhausting Ground;;;;;;\13\{KKolossal}: This card remains in play until the end of the next Day. \13\\13\While this card is in play, your Worshippers have the ability "{Assault} Exhaust this Worshipper : Exhaust a Worshipper opposed to it.";6;;;;;N;38;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Mixte;1;KKOLOSSAL ACTIONS
