NOM;NUMERO;FACTION;UNICITE;TRAITS;TYPES;TEXTE;COUT;ADORATION;ATTAQUE;DEFENSE;DUREE;ICONES;RAPIDITE;ILLUSTRATION;NOMBRE;CARTE
The Chosen Ones;1;3;;;;\13\{Reaction} When a Worshipper you control uses his Devotion trait: Gain 1 Adoration.\13\{Assault} Move a Worshipper you control to the current battle on a KKolossal part where it would be opposed and gain 1 adoration.;;;;;ethereal / Incandescent;A;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Une couronne irridescante;1;TRIBES
The Fallen Ones;2;3;;;;\13\Worshippers you control with Fallen tokens have +1/+1.\13\\13\{Reaction} Any number of times per Day, when you recruit an Angel: Give it a Fallen token. You do not gain Adoration from its recruitment.\13\{Assault} Destroy a Worshipper you control with a Fallen token in the current battle: Deal damages equal to his Attack Power to a Worshipper opposed to it.\13\{Assault} Exhaust a Worshipper without Fallen token in the current battle: Exhaust a Worshipper opposed to it.;;;;;;E;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Une couronne noire sanguinolente;1;TRIBES
The Shadow Order;3;4;;;;\13\{Reaction} Any number of times per Day, when a Deviant Worshipper is destroyed: You gain 2 Adoration and deal 1 damage to a KKolossus part.\13\{Assault} Target an opposed Worshipper in the current battle: If it is Deviant, move it to the ground. Else, its controller chooses whether it becomes Deviant or it is moved to the ground.\13\;;;;;Corrupted / Telluric;S;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Un Masque rouge;1;TRIBES
The Doom Order;4;4;;;;\13\{Open}: Recycle a face-up card in a KKolossal Rift.\13\{Assault}: Turn face-up up to one card in a KKolossal Rift. A Worshipper you control in the current battle gains an ability printed on the Worshipper in the Rift of its location until the end of the Day. You can take an additional action to use this ability.;;;;;;F;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;TRIBES
The Circle of Stones;5;2;;;;\13\{Open} Remove one shield from a Worshipper you control : Add one Aegis shield on this Worshipper. Remove that shield at the end of the Day.\13\{Reaction} When damages are negated by an Aegis shield : Gain 1 Adoration.\13\\13\A Worshipper with an Aegis shield has the following ability : \13\{Reaction} The first time each Day damages are dealt to this card outside of battle resolution : Negate those damages and remove an Aegis shield from this card.\13\;;;;;Telluric / Incandescent;T;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Un tatouage brillant;1;TRIBES
The Circle of Light;6;2;;;;\13\{Reaction} Any number of times per Day, when a Guardian you own is materialized or leaves play: Add an Obediance token to this card.\13\{Twilight} Remove 5 Obediance tokens from this card: Gain 3 Adorations.\13\{Devotion} Once per game, remove 10 Obediance tokens from this card: choose up to 5 Guardians from your dead pile and refill one of your KKolossus part, even a destroyed one.;;;;;;A;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\Une marque de sang;1;TRIBES
The Scholar Sect;7;5;;;;\13\Before the game begins, when your opponent reveals his KKolossus, choose 5 cards in your Crusade deck and consecrate them, face down. When you draw your starting hand, draw 8 cards, keep 5 of those cards and put the rest at the bottom of your Crusade deck in any order.\13\\13\{Assault} If you control a Worshipper in the current battle : Switch a card between your hand (face down) and your Consecrated cards.;;;;;Corrupted / ethereal;F;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;TRIBES
The Occult Sect;8;5;;;;\13\You can use the Slide trait an additional time per Day, that targets a Worshipper different from the first use.\13\\13\{Assault} Target a Worshipper you control in the current battle: Switch its location with another Worshipper you control (they remain in the same state).;;;;;;E;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;TRIBES
;;;;;;\13\;;;;;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;TRIBES
Heaume de Possession;;5;;;;\13\Vous pouvez utiliser la mecanique de Possession : vous pouvez attacher un Adorateur Djinn \13\a l'un de vos Adorateurs Humain au sol qui n'a pas encore de Djinn attache. \13\Pour cela, payez X or ou X est la moitie du cout du Djinn arrondi a l'inferieur.\13\Votre Adorateur Humain gagne +1/+1 et gagne toutes les capacites et traits du Djinn qui lui est attache.\13\;;;;;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;TRIBES
Heaume de la Creation 1;;4;;;;\13\Votre deck Devotion doit contenir exactement 6 Adorateurs.\13\Vous commencez la partie avec 20 Adorations.\13\Vous commencez la partie avec un Adorateur face cache de votre deck Devotion attache a \13\chacune des parties de votre Colosse. \13\Assaut : une fois par zone de combat, si celle ci contient des Adorateurs adverses, vous \13\pouvez reveler l'Adorateur associe a une partie de votre Colosse. Vous avez l'opportunite\13\de la prochaine action.;;;;;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;TRIBES
Heaume de la Creation 2;;4;;;;\13\Vous ne pouvez pas mettre d'Adorateurs dans votre deck Devotion.\13\Vous pouvez jouer les Croisades de type assaut comme si vous etiez oppose.\13\Vous commencez la partie avec 20 Adorations.\13\Devotion Limitee : sacrifiez 6 Adorateurs. Vous les remodelez. Creez le Destructeur de Monde : Adorateur 20/20, Indestructible, Inciblable en dehors des phases d'Assaut et avec les capacites :\13\Reaction : une fois par tour, annulez le deplacement d'un Adorateur.\13\Assaut : une fois par tour, detruisez un Adorateur oppose.;;;;;;;;F:\Mon Drive\KKOLOSSUS\ILLUSTRATIONS\;1;TRIBES
